locatiecode,wgs84_lon,wgs84_lat,Overall_status_weighted
AAA002,4.980965379692025,52.17199098676224,Potential stress
ABA001,4.990197618849303,52.24664024489201,Potential stress
ABC001,4.967187438008575,52.27835975533026,OK
ABC002,4.967515394482041,52.27776772283095,Potential stress
ABC003,4.9731752894953285,52.27735626181627,Potential stress
ABC004,4.970333494152093,52.26788207866571,Potential stress
ABC005,4.973227613633229,52.26858431313461,Potential stress
ABC006,4.965774344107049,52.26975336232138,Potential stress
ABC007,4.9663985686424095,52.27345857836482,Potential stress
ABC008,4.970229422411943,52.27117126375855,Potential stress
ABC009,4.970124883895154,52.27919703421252,Potential stress
ABC010,4.97329794430748,52.27677248210702,Potential stress
ABC011,4.975325448598628,52.27776822398527,Potential stress
ABC012,4.964604118976868,52.27881791763218,Potential stress
ADM001,4.940107681413821,52.36732027835232,Potential stress
ADM003,4.821989219934843,52.37855330976862,Potential stress
ADM004,4.898351593863175,52.37386006712616,Potential stress
ADM010,4.884402001516791,52.36729454639838,Potential stress
ADM011,4.893537212010095,52.37893611987945,Potential stress
ADM012,4.851718211286552,52.349058869443,Potential stress
ADM013,4.863870145524321,52.36900311754806,Potential stress
ADM014,4.888594758142012,52.3783222241377,Potential stress
ADM016,4.902385526189825,52.36351382225259,Potential stress
ADM018,4.857022137081102,52.34735709421489,In danger
ADM020,4.910817200496007,52.36308967698075,Potential stress
ADM021,4.909972137015182,52.369314757038985,Potential stress
ADM022,4.905596991039877,52.37197537773563,Potential stress
ADM023,4.896117325638314,52.36742460870747,Potential stress
ADM026,4.939292653972538,52.36660717014315,Potential stress
ADM029,4.878250936523428,52.37872760344799,Potential stress
ADM030,4.883347495604911,52.38645185456587,Potential stress
ADM031,4.854058535391129,52.376598914580256,Potential stress
ADM032,4.856552832798232,52.3767898734014,Potential stress
ADM033,4.864351492475178,52.3755033708449,Potential stress
ADM034,4.8469950477092,52.37536254432469,Potential stress
ADM035,4.849362592120165,52.3678326100985,In danger
ADM036,4.855512349082697,52.376605451478014,Potential stress
ADM037,4.900285546030501,52.37560266191457,In danger
ADM038,4.879108796079905,52.37435427259305,Potential stress
ADM039,4.954948000289973,52.364697056309005,Potential stress
ADM040,4.953896856705197,52.36559198289504,Potential stress
ADM041,4.947592713922736,52.36466997437482,Potential stress
ADM042,4.943997643863218,52.38798857154346,Potential stress
ADM043,4.894069237557406,52.41297462540776,Potential stress
ADM044,4.933078832143012,52.39129960487222,OK
ADM054,4.849362592120165,52.3678326100985,In danger
ADM055,4.849362592120165,52.3678326100985,In danger
ADM056,4.869962636854096,52.36783452240814,Potential stress
ADM057,4.8345606168750725,52.37621292349231,Potential stress
ADM058,4.840184222698721,52.3834382074673,Potential stress
ADM059,4.84195047628873,52.3520791074064,Potential stress
ADM060,4.843430377493039,52.342702667756846,Potential stress
ADM061,4.918796907196402,52.36930505888004,Unknown
ADM062,4.885137089948018,52.3412601636452,Potential stress
ADM063,4.898476589758535,52.363848271346505,Potential stress
ADM064,4.906911350617631,52.36721723215399,OK
