Datum,Aantal,Locatie,Latitude,Longitude
2025-09-23,1,Amsterdam - Nieuwe Meer - Oeverlanden Noord (Noord-Holland),,
2025-09-23,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2025-09-21,1,Amsterdam - Osdorper Binnenpolder-Noord (Noord-Holland),,
2025-09-21,1,Amsterdam - IJburg (Noord-Holland),52.3632604,4.9701148
2025-09-19,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2025-09-19,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2025-09-18,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2025-09-17,1,Amsterdamse Bos - Volkstuincomplex Sloterdijkermeer / Nut en Genoegen (Noord-Holland),,
2025-09-17,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2025-09-16,1,Amsterdam - De Aker (Noord-Holland),,
2025-09-16,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2025-09-16,1,Amsterdam - Siegerpark (Noord-Holland),,
2025-09-16,1,Amsterdam - Oost (Noord-Holland),,
2025-09-11,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2025-09-11,1,Amsterdamse Bos - Grote Vijver / Grote Speelweide (Noord-Holland),,
2025-09-11,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2025-09-04,1,Amsterdam - Nieuw Sloten (Noord-Holland),,
2025-09-03,1,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2025-09-03,1,Amsterdam - De Aker (Noord-Holland),,
2025-09-03,1,Amsterdam - Science Park (Noord-Holland),52.352926,4.948315
2025-09-03,1,Amsterdam - Vondelpark (Noord-Holland),52.3611389,4.8780228
2025-08-30,1,Amsterdam - Amstelpark (Noord-Holland),52.3260216,4.8938658
2025-08-30,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2025-08-30,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2025-08-30,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2025-08-28,1,Amsterdam - Noord (Noord-Holland),,
2025-08-27,1,Amsterdam - Noord (Noord-Holland),,
2025-08-27,1,Amsterdam - Noord (Noord-Holland),,
2025-08-21,1,Amsterdam - Groot-Duivendrechtse Polder (Noord-Holland),,
2025-08-19,1,Amsterdam - Anna’s Tuin & Ruigte (Noord-Holland),,
2025-08-07,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2025-08-07,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
